无论如何	foce
尽善尽美	bubu
如鱼得水	cqrk
风华正茂	qefs
势不可挡	adaa
标新立异	fiic
美中不足	uldn
天壤之别	fhpl
呼之欲出	lptx
痛不欲生	pdtw
中流砥柱	lidf
金字招牌	woat
摇摇欲坠	aatc
背井离乡	uspv
日积月累	jrwj
心灰意冷	ysis
不期而遇	ddsk
人云亦云	tsps
若隐若现	scsg
当仁不让	medo
患得患失	lrlq
寸步难行	anbr
无理取闹	fgap
出人头地	xtsh
花言巧语	sufo
鱼龙混杂	qdiy
乘虚而入	rmsr
生老病死	whpd
不翼而飞	dxsv
茶余饭后	stre
乘风破浪	rqdi
风雨无阻	qdfc
如履薄冰	cbss
势如破竹	acdq
操之过急	apay
火眼金睛	umwm
抛头露面	asdg
数一数二	pfps
化险为夷	ecog
神出鬼没	uxwi
变幻莫测	pvsi
庞然大物	uwgw
出神入化	xure
拖泥带水	aisk
跋山涉水	njik
多愁善感	rrud
如虎添翼	cmix
心潮澎湃	yiii
风吹草动	qlss
循规蹈矩	rgnq
功亏一篑	fffq
横冲直撞	fsda
星星之火	jjpu
嘘寒问暖	lopj
跃然纸上	nwvk
妙不可言	cdau
问心无愧	pyfy
沧海桑田	iibj
大大咧咧	ggll
避重就轻	bqoh
趁热打铁	daat
呼风唤雨	lqld
雷打不动	dads
披荆斩棘	ashf
顺藤摸瓜	qsaq
见仁见智	kekq
狭路相逢	rnfe
画龙点睛	fdmm
众矢之的	tqpe
功成名就	fdro
独当一面	rmfg
投其所好	adic
稳扎稳打	rara
初出茅庐	pxsu
火上浇油	ukii
丧心病狂	dypr
善始善终	ucuv
重蹈覆辙	qndh
蠢蠢欲动	ggts
随遇而安	ckso
先入为主	wroo
不攻自破	dftd
屡教不改	bhdb
有备无患	sefl
箭在弦上	qsvk
旗鼓相当	ohfm
老当益壮	hmuu
不劳而获	dsss
快马加鞭	yxxg
天马行空	fxrp
步步为营	nnos
祸不单行	udur
扶摇直上	aadk
空穴来风	ppfq
阴差阳错	cuct
独善其身	rudw
差强人意	uvti
好高骛远	cocf
后悔莫及	eysv
细水长流	vkti
之乎者也	pqhc
风声鹤唳	qhyl
纸醉金迷	vgwp
狗血喷头	rqls
熟能生巧	ovwf
屡试不爽	bodg
回头是岸	nsjj
垂涎欲滴	eiti
财迷心窍	kpyp
堆积如山	hrcj
埋头苦干	hssh
早出晚归	jxju
明明白白	jjee
日复一日	jqfj
恰到好处	yhce
夕阳西下	rcda
抗美援朝	auad
本性难移	fybr
待人接物	rtaw
单刀直入	ubdr
各种各样	eref
当务之急	mepy
行之有效	rpso
举世瞩目	ihmm
各行各业	eren
源远流长	ifit
安居乐业	obtn
身体力行	wexr
丝绸之路	vvpn
举足轻重	inhq
除此之外	cnpr
络绎不绝	vvdv
继往开来	vrff
与众不同	stdk
齐心协力	pydx
理直气壮	gdqu
以权谋私	xfor
必由之路	ykpn
突飞猛进	pvrs
急功近利	yfer
不折不扣	dada
真心实意	dyoi
势在必行	asyr
同心同德	kykr
乱七八糟	ratp
审时度势	ojua
家喻户晓	olij
大有作为	gseo
所作所为	ieio
无动于衷	fsfo
繁荣昌盛	qsjd
波澜壮阔	iiup
忧心忡忡	yyyy
大势所趋	gaid
挺身而出	awsx
先发制人	wxwt
有目共睹	smsm
比比皆是	rrrj
别开生面	lfwg
语重心长	oqyt
记忆犹新	oyri
滔滔不绝	iidv
热泪盈眶	aivm
大张旗鼓	gvoh
相得益彰	frui
量力而行	jxsr
无影无踪	fjfn
义无反顾	ofes
如愿以偿	csxe
生死存亡	wdsu
不堪设想	dhof
有朝一日	sdfj
取而代之	asep
司空见惯	vpky
欢欣鼓舞	behq
集思广益	wjuu
风风雨雨	qqdd
无家可归	foau
奋发图强	gxnv
诸如此类	ocnp
一无所有	ffis
自以为是	txoj
百家争鸣	doyl
沸沸扬扬	iiaa
蔚然成风	swdq
自由自在	tkts
鲜为人知	qotq
违法乱纪	airv
百折不挠	dada
有的放矢	seoq
肃然起敬	xwds
津津乐道	iitu
脍炙人口	wwtl
字里行间	okrp
无缘无故	fvfd
始终如一	cvcf
当之无愧	mpfy
马马虎虎	xxmm
堂而皇之	nsep
千差万别	wufl
无微不至	frdh
独树一帜	rffm
奋不顾身	gdsw
异军突起	cypd
荡然无存	swfs
岂有此理	jsng
泣不成声	iddh
耳熟能详	aovo
侃侃而谈	eeso
溢于言表	ifuh
毛骨悚然	rmyw
身不由己	wdkb
有血有肉	sqsk
流连忘返	ihue
扑朔迷离	aupp
不胜枚举	dwfi
急于求成	yffd
素不相识	hdfo
恋恋不舍	ppdt
气势磅礴	qadd
历历在目	sssm
孜孜不倦	vvde
欢天喜地	bfhh
专心致志	syhh
真知灼见	dquk
无地自容	fhtp
无关紧要	fund
汗马功劳	ixfs
近在咫尺	esbb
不伦不类	dedp
雷厉风行	dsqr
光天化日	mfej
同归于尽	kufb
发人深省	xtim
偷偷摸摸	eeaa
袖手旁观	ptob
似曾相识	eufo
翻山越岭	qjdj
不同凡响	dkql
奄奄一息	ggft
一往无前	frfu
说三道四	ofun
似是而非	ejsl
不速之客	dfpo
半夜三更	uoff
平易近人	hjet
同甘共苦	ksss
怒不可遏	cdaj
无时无刻	fjfo
乐此不疲	tndp
张灯结彩	vuve
众说纷纭	tovv
省吃俭用	mlet
通情达理	bygg
汗流浃背	iiiu
心惊肉跳	yykn
大是大非	gjgl
身临其境	wndh
绞尽脑汁	vbwi
无与伦比	fser
屈指可数	baap
双管齐下	bqpa
不闻不问	dpdp
煞费苦心	yvsy
分门别类	tplp
人来人往	tftr
摇身一变	awfp
漫山遍野	ijik
游刃有余	ibst
何去何从	ehet
亡羊补牢	uupo
千丝万缕	wvfv
走马观花	dxbs
忍气吞声	bqfh
运筹帷幄	sqmm
毕恭毕敬	rsrs
深信不疑	iedr
一见钟情	fkty
防微杜渐	crfi
风雨同舟	qdkq
今非昔比	tlsr
人命关天	tyuf
无所不在	fids
心领神会	ytut
不着边际	duxc
春风化雨	gqed
大模大样	gfgf
心心相印	yyft
风调雨顺	qodq
心烦意乱	yuir
自暴自弃	tjto
婆婆妈妈	iicc
五湖四海	fini
财大气粗	kgqp
有恃无恐	syff
轻车简从	hhqt
沁人心脾	ityw
无法无天	fiff
有求必应	sfyu
绘声绘色	vhvy
一往情深	fryi
十全十美	dtdu
心照不宣	yjdo
按兵不动	aeds
不务正业	defn
生龙活虎	wdim
惟妙惟肖	ycym
安身立命	owiy
一触即发	fyxx
引以为戒	vxog
摩拳擦掌	puan
千疮百孔	wpdv
忍俊不禁	bedf
欣喜若狂	ehsr
并驾齐驱	uxpx
豪言壮语	ouuo
光怪陆离	mycp
千山万水	wjfk
心花怒放	ysco
顾此失彼	snqr
天花乱坠	fsrc
视死如归	udcu
声情并茂	hyus
承上启下	vkia
令人发指	ttxa
枪林弹雨	ffvd
浮想联翩	ifai
海市蜃楼	iosf
单枪匹马	ufhx
至理名言	hgru
九死一生	ydfw
排山倒海	ajei
捕风捉影	aqaj
大发雷霆	gxdd
死里逃生	dkqw
春风得意	gqri
游山玩水	ijgk
机不可失	fdaq
轻手轻脚	hthw
完美无缺	oufw
无所畏惧	fijy
赴汤蹈火	dinu
趋之若鹜	dpsc
无孔不入	fvdr
臭名昭著	trjs
耳濡目染	aimi
另眼相看	lmft
门当户对	pmib
事倍功半	aefu
遥遥无期	eefd
兼收并蓄	uxus
生离死别	wpdl
失魂落魄	qsse
无可比拟	fara
风雨飘摇	qdda
另起炉灶	lduu
大气磅礴	gqdd
马到成功	xhdf
起早贪黑	djtn
势不两立	adfi
落花流水	ssik
一言难尽	fubb
三心二意	fysi
为非作歹	oled
各显神通	ejub
身强力壮	wvxu
言不由衷	udko
登峰造极	bjwf
力挽狂澜	xari
无所不能	fidv
争奇斗艳	ygsd
相濡以沫	fixi
冷嘲热讽	slao
招摇过市	aaao
东拉西扯	aada
无稽之谈	frpo
一日千里	fjwk
满载而归	idsu
骨瘦如柴	mpcn
事在人为	asto
浅尝辄止	inhn
晴天霹雳	jfdd
一笔勾销	fqwt
重见天日	qkfj
心灵手巧	yxtf
坚如磐石	ncqd
刀光剑影	bmtj
本末倒置	fhem
如梦初醒	cfpg
事出有因	axsn
破釜沉舟	dtiq
无奇不有	fgds
心惊胆战	yywm
粉墨登场	pnbh
面面俱到	ggeh
贪得无厌	trfs
孤陋寡闻	vcop
挥汗如雨	aicd
如日中天	cjlf
天高地厚	fohs
疑神疑鬼	rurw
知难而退	qbsv
返老还童	ehdi
无病呻吟	fpll
若即若离	sxsp
空前绝后	puve
口是心非	ljyl
入乡随俗	rvce
驾轻就熟	xhoo
坚不可摧	ndaa
人杰地灵	tfhx
将计就计	uooo
言归正传	uufe
在劫难逃	shbq
照本宣科	jfor
惊弓之鸟	yvpy
信手拈来	etaf
始作俑者	ceeh
转弯抹角	hpay
各执一词	eafo
魂飞魄散	sves
狼狈为奸	rroc
时来运转	jfsh
穷途末路	pthn
殊途同归	dtku
无事生非	fawl
作茧自缚	estv
花花世界	sshj
揭竿而起	aqsd
来者不拒	fhda
明察秋毫	joro
金戈铁马	wgtx
轻车熟路	hhon
若有所失	ssiq
徒有虚名	rsmr
望眼欲穿	umtp
斩草除根	hscf
逢凶化吉	eweh
情投意合	yaiy
心猿意马	yrix
昭然若揭	jwsa
怪模怪样	yfyf
难舍难分	btbt
天各一方	fefo
装聋作哑	udel
草木皆兵	sfre
五大三粗	fgfp
一箭双雕	fqbw
尔虞我诈	ymqo
丧尽天良	dbfo
朝令夕改	dtrb
洞房花烛	iisu
萍水相逢	skfe
守株待兔	ofry
歌舞升平	aqqh
风口浪尖	qlim
排忧解难	ayyb
鸡犬不宁	bsdo
藕断丝连	spvh
破镜重圆	dtqn
妖魔鬼怪	cpwy
大智若愚	gqsk
地久天长	hyft
趋炎附势	duca
一手遮天	ftuf
物极必反	wfye
相见恨晚	fkyj
夜长梦多	otfr
孤家寡人	voot
同床异梦	kucf
歪打正着	dafu
朝不保夕	dder
响彻云霄	lrsd
不耻下问	daap
百战不殆	dmdd
对牛弹琴	bwvg
照猫画虎	jrfm
叶落归根	lsuf
鬼迷心窍	wpyp
近水楼台	ekfv
情窦初开	yppf
雕虫小技	wkma
朝三暮四	dfsn
妙手回春	ctng
狗皮膏药	rvos
国色天香	nyfr
物以类聚	wxpa
鸡犬升天	bsqf
郎才女貌	oacy
一诺千金	foww
贻笑大方	kqgo
半斤八两	uetf
初露锋芒	pdts
豆蔻年华	fsqe
归心似箭	uyeq
鹿死谁手	idot
平步青云	hnhs
天崩地裂	fjhd
天作之合	fepy
人定胜天	towf
树大招风	fgaq
青出于蓝	hxfs
山盟海誓	jjia
眼高手低	mote
攻无不克	ffdd
围魏救赵	nrfd
吉人天相	htff
镜花水月	tskw
插翅难飞	adbv
花好月圆	scwn
碌碌无为	ddfo
龙飞凤舞	dvqq
助人为乐	mtot
南斯拉夫	ddag
过目不忘	amdu
井然有序	swsu
霸权主义	dfoo
不切实际	daoc
不厌其烦	dsdu
不堪一击	dhfa
一本万利	fffr
琴棋书画	gfvf
不合时宜	dyjo
一丝一毫	fvfo
浩浩荡荡	iiss
沉默寡言	inou
逃之夭夭	qpee
深入人心	irty
畅通无阻	kbfc
暴露无遗	jdfl
坚持不懈	nady
明辨是非	jojl
罗马尼亚	mxba
尽力而为	bxso
家常便饭	oner
实实在在	ooss
安然无恙	owfu
犹豫不决	rcds
狂风暴雨	rqjd
名利双收	rrbx
接连不断	ahdp
扪心自问	aytp
繁荣富强	qsov
人声鼎沸	thmi
保加利亚	exra
望穿秋水	uprk
不顾一切	dsfa
发达国家	xgno
乌鲁木齐	eqfp
形式主义	fgoo
马列主义	xdoo
有期徒刑	sdrf
脱颖而出	wrsx
一如既往	fcxr
一心一意	fyfi
一天到晚	ffhj
源源不断	iidp
大街小巷	grms
唯物主义	lwoo
任重道远	equf
循序渐进	ruis
建功立业	xfin
万众一心	ftfy
一丝不苟	fvds
唯心主义	lyoo
有声有色	shsy
一视同仁	fuke
博大精深	dgpi
五花八门	fstp
玩忽职守	gwao
有条不紊	sedp
琳琅满目	ggim
糊里糊涂	pkpi
面面相觑	ggfm
束手无策	ftfq
接二连三	ashf
如火如荼	cucs
史无前例	lfue
万无一失	fffq
满不在乎	idsq
航空母舰	qpbq
吞吞吐吐	ffll
可乘之机	arpf
一技之长	fapt
垂头丧气	esdq
习以为常	xxon
心中有数	ylsp
热火朝天	audf
一蹴而就	fnso
一望无际	fufc
格格不入	ffdr
胡说八道	dotu
高屋建瓴	obxt
幸灾乐祸	hotu
无穷无尽	fpfb
三三两两	ffff
同心协力	kydx
惊慌失措	yyqa
马不停蹄	xden
一意孤行	fivr
不屑一顾	dbfs
千军万马	wyfx
无声无息	fhft
一筹莫展	fqsb
德高望重	rouq
鸦雀无声	hmfh
慷慨激昂	yyij
深思熟虑	ijom
成群结队	dxvc
四通八达	nbtg
光明磊落	mjds
大显身手	gjwt
古往今来	drtf
寥寥无几	oofq
左邻右舍	stst
不解之缘	dypv
起死回生	ddnw
前仆后继	ueev
阿弥陀佛	cvce
古色古香	dydr
崭露头角	jdsy
眉飞色舞	bvyq
直言不讳	dudo
千篇一律	wqfr
曾几何时	uqej
立竿见影	iqkj
万不得已	fdrb
郑重其事	uqda
一劳永逸	fsoy
愁眉苦脸	rbsw
年富力强	qoxv
痛心疾首	pypu
一尘不染	fmdi
布达拉宫	sgao
三言两语	fufo
正人君子	ftxv
金碧辉煌	wgmu
震耳欲聋	datd
倒行逆施	eruo
慢条斯理	yedg
任劳任怨	eser
孜孜以求	vvxf
豁然开朗	owfo
各自为政	etof
自告奋勇	twgb
漠不关心	iduy
先天不足	wfdn
谈笑风生	oqqw
变本加厉	pfxs
从天而降	tfsc
移风易俗	rqje
发号施令	xlot
自私自利	trtr
蹑手蹑脚	ntnw
受宠若惊	eosy
不能自拔	dvta
如释重负	cqqy
一举两得	fifr
扬长而去	atsh
冠冕堂皇	ykne
眉开眼笑	bfmq
将信将疑	ueur
雄心壮志	syuh
笑容可掬	qpaa
敲诈勒索	oogd
麻木不仁	pfde
执迷不悟	apdy
融会贯通	ftbb
一波三折	fifa
指手画脚	atfw
众目睽睽	tmmm
气势汹汹	qaii
沾沾自喜	iith
出生入死	xwrd
不胫而走	dwsd
交头接耳	osaa
想入非非	frll
一事无成	fafd
赤手空拳	htpu
望子成龙	uvdd
一网打尽	fkab
耿耿于怀	aafy
旁若无人	osft
大摇大摆	gaga
自知之明	tqpj
山清水秀	jikr
白手起家	etdo
听天由命	lfky
声嘶力竭	hlxi
投机取巧	afaf
虚张声势	mvha
义愤填膺	oyhu
约法三章	vifi
真才实学	daoi
求之不得	fpdr
温文尔雅	ipyh
独断专行	rpsr
东倒西歪	aedd
治病救人	ipft
心有余悸	ysty
流离失所	ipqi
大失所望	gqiu
趾高气扬	noqa
大手大脚	gtgw
顾名思义	srjo
忘乎所以	uqix
谢天谢地	ofoh
远走高飞	fdov
左顾右盼	sssm
水到渠成	khid
亭亭玉立	oogi
横七竖八	fant
振振有词	aaso
七零八落	adts
凤毛麟角	qriy
闷闷不乐	ppdt
和颜悦色	riyy
哄堂大笑	lngq
大庭广众	guut
听之任之	lpep
误入歧途	ornt
出奇制胜	xgww
回心转意	nyhi
急中生智	ylwq
轩然大波	hwgi
天方夜谭	fooo
一气呵成	fqld
担惊受怕	ayey
束之高阁	fpop
置之度外	mpur
如饥似渴	crei
纹丝不动	vvds
乌烟瘴气	eupq
喜形于色	hffy
能工巧匠	vffg
三番五次	fqfs
人心惶惶	tyyy
良莠不齐	osdp
推心置腹	aymw
玩世不恭	ghds
兴风作浪	iqei
不近人情	dety
高谈阔论	oopo
不偏不倚	dede
穷乡僻壤	pveh
摩肩接踵	pian
身败名裂	wkrd
天寒地冻	fohs
信口开河	elfi
志同道合	hkuy
兵荒马乱	esxr
大功告成	gfwd
蓬头垢面	sshg
四分五裂	ntfd
一蹶不振	fnda
诚惶诚恐	oyof
祸国殃民	undc
危在旦夕	ysjr
心悦诚服	yyow
春暖花开	gjsf
大逆不道	gudu
多才多艺	rars
含辛茹苦	toss
山珍海味	jgil
水乳交融	keof
平起平坐	hdht
窃窃私语	ppro
得意忘形	riuf
价廉物美	euwu
摇头晃脑	asjw
一败涂地	fkih
釜底抽薪	tuas
名存实亡	rsou
忍辱负重	bsyq
天昏地暗	fthj
无足轻重	fnhq
不可救药	dafs
高枕无忧	offy
一窍不通	fpdb
开天辟地	ffbh
水涨船高	kiqo
国泰民安	ngco
一落千丈	fsws
周而复始	wsqc
胡作非为	delo
矫揉造作	qawe
潸然泪下	iwia
不知所云	dqis
天罗地网	fmhk
装腔作势	uwea
寡不敌众	odrt
千锤百炼	wtdu
辗转反侧	hhee
地广人稀	hutr
捷足先登	anwb
据为己有	aobs
盛气凌人	dqst
卧薪尝胆	ssnw
姹紫嫣红	cncv
荡气回肠	sqnw
故弄玄虚	dgom
花枝招展	sfab
见怪不怪	kydy
入不敷出	rdfx
稀奇古怪	rgdy
民不聊生	cdaw
正襟危坐	fpyt
不甘示弱	dshv
