㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
䜢	䜢 䜢󠄀 䜢󠄁
䝟	䝟 䝟󠄀 䝟󠄁
䝨	䝨 䝨󠄀 䝨󠄁
䝼	䝼 䝼󠄀 䝼󠄁
䟦	䟦 䟦󠄁 䟦󠄂
䡎	䡎 䡎󠄁 䡎󠄂
䡱	䡱 䡱󠄀 䡱󠄁
䡵	䡵 䡵󠄀 䡵󠄁
䢉	䢉 䢉󠄀 䢉󠄁
䢋	䢋 䢋󠄀 䢋󠄁
䢌	䢌 䢌󠄀 䢌󠄁
䢐	䢐 䢐󠄀 䢐󠄁
䢔	䢔 䢔󠄀 䢔󠄁
䢦	䢦 䢦󠄀 䢦󠄁
䢫	䢫 䢫󠄀 䢫󠄁
䢰	䢰 䢰󠄀 䢰󠄁
䣐	䣐 䣐󠄀 䣐󠄁
䤿	䤿 䤿󠄀 䤿󠄁 䤿󠄂
䥎	䥎 䥎󠄀 䥎󠄁
䥬	䥬 䥬󠄀 䥬󠄁
䦕	䦕 䦕󠄀 䦕󠄁
䦨	䦨 䦨󠄀 䦨󠄁
䧟	䧟 䧟󠄀 䧟󠄁
䧢	䧢 䧢󠄀 䧢󠄁
䨢	䨢 䨢󠄀 䨢󠄁
䨤	䨤 䨤󠄀 䨤󠄁
䨨	䨨 䨨󠄀 䨨󠄁
䨼	䨼 䨼󠄀 䨼󠄁
䩿	䩿 䩿󠄀 䩿󠄁
䪝	䪝 䪝󠄀 䪝󠄁
䪧	䪧 䪧󠄀 䪧󠄁
䪫	䪫 䪫󠄀 䪫󠄁
䪴	䪴 䪴󠄀 䪴󠄁
䪵	䪵 䪵󠄀 䪵󠄁
䫝	䫝 䫝󠄀 䫝󠄁
䬒	䬒 䬒󠄀 䬒󠄁
䬓	䬓 䬓󠄀 䬓󠄁
䬙	䬙 䬙󠄀 䬙󠄁
䬟	䬟 䬟󠄀 䬟󠄁
䬢	䬢 䬢󠄀 䬢󠄁
䬪	䬪 䬪󠄀 䬪󠄁
䬮	䬮 䬮󠄀 䬮󠄁
䬳	䬳 䬳󠄀 䬳󠄁
䬴	䬴 䬴󠄀 䬴󠄁
䬹	䬹 䬹󠄀 䬹󠄁
䬻	䬻 䬻󠄁 䬻󠄂
䬼	䬼 䬼󠄀 䬼󠄁
䭀	䭀 䭀󠄀 䭀󠄁
䭃	䭃 䭃󠄀 䭃󠄁
䭅	䭅 䭅󠄀 䭅󠄁
䭇	䭇 䭇󠄀 䭇󠄁
䭉	䭉 䭉󠄀 䭉󠄁
䭋	䭋 䭋󠄀 䭋󠄁
䭐	䭐 䭐󠄀 䭐󠄁
䭑	䭑 䭑󠄀 䭑󠄁
䭒	䭒 䭒󠄀 䭒󠄁
䭔	䭔 䭔󠄀 䭔󠄁
䭡	䭡 䭡󠄀 䭡󠄁
䭣	䭣 䭣󠄀 䭣󠄁
䭨	䭨 䭨󠄀 䭨󠄁
䭩	䭩 䭩󠄀 䭩󠄁
䯬	䯬 䯬󠄀 䯬󠄁
䰗	䰗 䰗󠄁 䰗󠄂 䰗󠄃
䱐	䱐 䱐󠄀 䱐󠄁
䲕	䲕 䲕󠄀 䲕󠄁
䳎	䳎 䳎󠄀 䳎󠄁
䳱	䳱 䳱󠄀 䳱󠄁
䴟	䴟 䴟󠄀 䴟󠄁
䴪	䴪 䴪󠄀 䴪󠄁
䴴	䴴 䴴󠄀 䴴󠄁
䴹	䴹 䴹󠄀 䴹󠄁
䵃	䵃 䵃󠄀 䵃󠄁
䶰	䶰 䶰󠄁 䶰󠄂
万	万 万󠄁 万󠄂
丈	丈 丈󠄂 丈󠄃
与	与 与󠄂 与󠄃 与󠄄
丑	丑 丑󠄁 丑󠄂 丑󠄃 丑󠄄
丒	丒 丒󠄁 丒󠄂 丒󠄃
且	且 且󠄁 且󠄂
丙	丙 丙󠄂 丙󠄃 丙󠄄
並	並 並󠄂 並󠄃
丰	丰 丰󠄂 丰󠄃
丵	丵 丵󠄁 丵󠄂
丸	丸 丸󠄁 丸󠄂
丹	丹 丹󠄂 丹󠄃
主	主 主󠄂 主󠄃
丽	丽 丽󠄀 丽󠄁
乁	乁 乁󠄁 乁󠄂
乂	乂 乂󠄁 乂󠄂 乂󠄃
乄	乄 乄󠄁 乄󠄂
久	久 久󠄁 久󠄂
乇	乇 乇󠄁 乇󠄂
乕	乕 乕󠄁 乕󠄂 乕󠄃 乕󠄆
乳	乳 乳󠄂 乳󠄃
乵	乵 乵󠄁 乵󠄂
亂	亂 亂󠄁 亂󠄂
予	予 予󠄁 予󠄂
五	五 五󠄁 五󠄂
亞	亞 亞󠄁 亞󠄂
亟	亟 亟󠄁 亟󠄂 亟󠄃
亠	亠 亠󠄁 亠󠄂
亡	亡 亡󠄂 亡󠄃
亢	亢 亢󠄁 亢󠄂 亢󠄄 亢󠄅
交	交 交󠄂 交󠄃 交󠄄
亥	亥 亥󠄁 亥󠄂
亨	亨 亨󠄁 亨󠄂
享	享 享󠄁 享󠄂
亮	亮 亮󠄁 亮󠄂
亶	亶 亶󠄁 亶󠄂 亶󠄃
亷	亷 亷󠄀 亷󠄁
亹	亹 亹󠄁 亹󠄂 亹󠄃
仗	仗 仗󠄂 仗󠄃 仗󠄄
仞	仞 仞󠄁 仞󠄂
仢	仢 仢󠄁 仢󠄂
令	令 令󠄁 令󠄂
以	以 以󠄁 以󠄂 以󠄃
仭	仭 仭󠄁 仭󠄂
伀	伀 伀󠄁 伀󠄂
伊	伊 伊󠄁 伊󠄂
伋	伋 伋󠄁 伋󠄂
伳	伳 伳󠄁 伳󠄂
伴	伴 伴󠄂 伴󠄃
伶	伶 伶󠄁 伶󠄂
佀	佀 佀󠄁 佀󠄂
住	住 住󠄂 住󠄃
体	体 体󠄁 体󠄂
你	你 你󠄂 你󠄃 你󠄄
佩	佩 佩󠄁 佩󠄂
佪	佪 佪󠄁 佪󠄂
佭	佭 佭󠄀 佭󠄁
佺	佺 佺󠄁 佺󠄂
佼	佼 佼󠄁 佼󠄂
佽	佽 佽󠄁 佽󠄂
佾	佾 佾󠄁 佾󠄂
使	使 使󠄂 使󠄃
侃	侃 侃󠄁 侃󠄂
侉	侉 侉󠄁 侉󠄂
侖	侖 侖󠄁 侖󠄂 侖󠄃
侜	侜 侜󠄀 侜󠄁
価	価 価󠄁 価󠄂
侫	侫 侫󠄁 侫󠄂
侮	侮 侮󠄂 侮󠄃
侱	侱 侱󠄀 侱󠄁
侵	侵 侵󠄂 侵󠄃
侹	侹 侹󠄁 侹󠄂
便	便 便󠄂 便󠄃
俊	俊 俊󠄁 俊󠄂
俘	俘 俘󠄁 俘󠄂
俞	俞 俞󠄀 俞󠄁 俞󠄂 俞󠄃
倂	倂 倂󠄁 倂󠄂
倏	倏 倏󠄁 倏󠄂
倐	倐 倐󠄁 倐󠄂
倖	倖 倖󠄁 倖󠄂
倝	倝 倝󠄁 倝󠄂
倥	倥 倥󠄁 倥󠄂
倦	倦 倦󠄂 倦󠄃
倩	倩 倩󠄁 倩󠄂
倰	倰 倰󠄁 倰󠄂
倶	倶 倶󠄁 倶󠄂
偀	偀 偀󠄁 偀󠄂
偂	偂 偂󠄁 偂󠄂
偃	偃 偃󠄁 偃󠄂
偈	偈 偈󠄁 偈󠄂
偉	偉 偉󠄂 偉󠄃 偉󠄅
偌	偌 偌󠄁 偌󠄂
偏	偏 偏󠄂 偏󠄃
偐	偐 偐󠄁 偐󠄂
偖	偖 偖󠄂 偖󠄃
停	停 停󠄁 停󠄂
偠	偠 偠󠄁 偠󠄂
健	健 健󠄂 健󠄃 健󠄄
偰	偰 偰󠄁 偰󠄂 偰󠄃
偷	偷 偷󠄁 偷󠄂
傅	傅 傅󠄂 傅󠄃
傋	傋 傋󠄀 傋󠄁
傍	傍 傍󠄁 傍󠄂
傎	傎 傎󠄁 傎󠄂
傑	傑 傑󠄃 傑󠄄 傑󠄅
傔	傔 傔󠄁 傔󠄂
備	備 備󠄁 備󠄂
傢	傢 傢󠄁 傢󠄂
傯	傯 傯󠄁 傯󠄂
傳	傳 傳󠄁 傳󠄂
傴	傴 傴󠄁 傴󠄂
傹	傹 傹󠄁 傹󠄂
傻	傻 傻󠄁 傻󠄂
傽	傽 傽󠄁 傽󠄂
僃	僃 僃󠄁 僃󠄂
僅	僅 僅󠄂 僅󠄃
僉	僉 僉󠄁 僉󠄂 僉󠄃
僊	僊 僊󠄃 僊󠄄 僊󠄅 僊󠄆
像	像 像󠄂 像󠄃 像󠄄
僛	僛 僛󠄀 僛󠄁
僞	僞 僞󠄁 僞󠄂
僢	僢 僢󠄁 僢󠄂
僧	僧 僧󠄂 僧󠄃 僧󠄄 僧󠄅
僨	僨 僨󠄁 僨󠄂
僭	僭 僭󠄂 僭󠄃
僮	僮 僮󠄁 僮󠄂
僯	僯 僯󠄁 僯󠄂
僲	僲 僲󠄂 僲󠄃 僲󠄄
僶	僶 僶󠄁 僶󠄂 僶󠄃
億	億 億󠄁 億󠄂
儆	儆 儆󠄁 儆󠄂
儈	儈 儈󠄁 儈󠄂 儈󠄃
儍	儍 儍󠄁 儍󠄂
儐	儐 儐󠄁 儐󠄂
儔	儔 儔󠄁 儔󠄂
儚	儚 儚󠄂 儚󠄃
儛	儛 儛󠄁 儛󠄂
儥	儥 儥󠄀 儥󠄁
優	優 優󠄁 優󠄂 優󠄃
儬	儬 儬󠄁 儬󠄂
儱	儱 儱󠄁 儱󠄂
儲	儲 儲󠄂 儲󠄃
儺	儺 儺󠄁 儺󠄂
儻	儻 儻󠄁 儻󠄂
儼	儼 儼󠄁 儼󠄂 儼󠄄
兀	兀 兀󠄁 兀󠄂 兀󠄃
兂	兂 兂󠄁 兂󠄂 兂󠄃 兂󠄄
充	充 充󠄁 充󠄂
兆	兆 兆󠄂 兆󠄃
兇	兇 兇󠄁 兇󠄂
兊	兊 兊󠄁 兊󠄂 兊󠄄
兌	兌 兌󠄁 兌󠄂
免	免 免󠄂 免󠄃 免󠄄
兎	兎 兎󠄂 兎󠄃
兒	兒 兒󠄁 兒󠄂
兓	兓 兓󠄁 兓󠄂
兔	兔 兔󠄃 兔󠄄 兔󠄅
兜	兜 兜󠄁 兜󠄂
兤	兤 兤󠄁 兤󠄃
全	全 全󠄂 全󠄃
兩	兩 兩󠄁 兩󠄂
兪	兪 兪󠄁 兪󠄂
八	八 八󠄂 八󠄃
公	公 公󠄂 公󠄃
兮	兮 兮󠄁 兮󠄂
关	关 关󠄁 关󠄂
具	具 具󠄂 具󠄃 具󠄄
典	典 典󠄁 典󠄂
养	养 养󠄁 养󠄂
兼	兼 兼󠄂 兼󠄃 兼󠄄 兼󠄅 兼󠄆
冀	冀 冀󠄁 冀󠄂
内	内 内󠄁 内󠄂
冉	冉 冉󠄂 冉󠄃
再	再 再󠄂 再󠄃 再󠄄 再󠄅
冎	冎 冎󠄁 冎󠄂 冎󠄃
冒	冒 冒󠄂 冒󠄃
冓	冓 冓󠄂 冓󠄃 冓󠄄 冓󠄅
冕	冕 冕󠄃 冕󠄄 冕󠄅 冕󠄆
冗	冗 冗󠄁 冗󠄂
冘	冘 冘󠄁 冘󠄂
冝	冝 冝󠄁 冝󠄂 冝󠄃
冡	冡 冡󠄁 冡󠄂
冢	冢 冢󠄁 冢󠄂 冢󠄃 冢󠄄 冢󠄅
冤	冤 冤󠄂 冤󠄃 冤󠄄 冤󠄅 冤󠄆
冥	冥 冥󠄁 冥󠄂
冦	冦 冦󠄁 冦󠄂
冪	冪 冪󠄁 冪󠄂
冬	冬 冬󠄂 冬󠄃
冴	冴 冴󠄃 冴󠄄 冴󠄅 冴󠄆
况	况 况󠄁 况󠄂
凊	凊 凊󠄁 凊󠄂
凋	凋 凋󠄂 凋󠄃
凌	凌 凌󠄁 凌󠄂
凞	凞 凞󠄆 凞󠄇 凞󠄈 凞󠄉 凞󠄊 凞󠄋
凢	凢 凢󠄁 凢󠄂
凶	凶 凶󠄁 凶󠄂
函	函 函󠄂 函󠄃
凾	凾 凾󠄁 凾󠄂
刃	刃 刃󠄂 刃󠄃
刄	刄 刄󠄁 刄󠄂
分	分 分󠄂 分󠄃
切	切 切󠄁 切󠄂 切󠄃 切󠄄
刋	刋 刋󠄁 刋󠄂
刓	刓 刓󠄁 刓󠄂
删	删 删󠄀 删󠄁
判	判 判󠄂 判󠄃 判󠄄
券	券 券󠄂 券󠄃
刻	刻 刻󠄁 刻󠄂
削	削 削󠄂 削󠄃
前	前 前󠄂 前󠄃
剏	剏 剏󠄁 剏󠄂
剨	剨 剨󠄀 剨󠄁
剪	剪 剪󠄁 剪󠄂
剱	剱 剱󠄃 剱󠄄 剱󠄅
割	割 割󠄃 割󠄄 割󠄅
剳	剳 剳󠄁 剳󠄂
創	創 創󠄂 創󠄃
剿	剿 剿󠄁 剿󠄂
劃	劃 劃󠄁 劃󠄂
劉	劉 劉󠄁 劉󠄂 劉󠄃
劑	劑 劑󠄁 劑󠄂
劒	劒 劒󠄁 劒󠄂
劔	劔 劔󠄃 劔󠄄
劘	劘 劘󠄁 劘󠄂
助	助 助󠄁 助󠄂
劵	劵 劵󠄁 劵󠄂
劾	劾 劾󠄁 劾󠄂
勃	勃 勃󠄁 勃󠄂
勆	勆 勆󠄁 勆󠄂
勇	勇 勇󠄂 勇󠄃
勉	勉 勉󠄂 勉󠄃
勌	勌 勌󠄁 勌󠄂 勌󠄄
勒	勒 勒󠄁 勒󠄂
勖	勖 勖󠄁 勖󠄂
勗	勗 勗󠄂 勗󠄃
勘	勘 勘󠄁 勘󠄂 勘󠄃
勝	勝 勝󠄂 勝󠄃
募	募 募󠄁 募󠄂
勠	勠 勠󠄁 勠󠄂
勤	勤 勤󠄂 勤󠄃 勤󠄄 勤󠄅
勦	勦 勦󠄁 勦󠄂
勨	勨 勨󠄁 勨󠄂
勬	勬 勬󠄁 勬󠄂
勱	勱 勱󠄁 勱󠄂
勲	勲 勲󠄁 勲󠄂
勳	勳 勳󠄁 勳󠄂
勵	勵 勵󠄁 勵󠄂
勸	勸 勸󠄁 勸󠄂
勹	勹 勹󠄁 勹󠄂
勺	勺 勺󠄂 勺󠄃
匄	匄 匄󠄀 匄󠄁
包	包 包󠄂 包󠄃
匆	匆 匆󠄁 匆󠄂
匇	匇 匇󠄂 匇󠄃
匈	匈 匈󠄁 匈󠄃 匈󠄄
匋	匋 匋󠄁 匋󠄂 匋󠄃
匏	匏 匏󠄁 匏󠄂
化	化 化󠄂 化󠄃
北	北 北󠄁 北󠄂
匬	匬 匬󠄁 匬󠄂
匵	匵 匵󠄁 匵󠄂
匶	匶 匶󠄀 匶󠄁
匹	匹 匹󠄂 匹󠄃
医	医 医󠄁 医󠄂
匼	匼 匼󠄁 匼󠄂 匼󠄃
匽	匽 匽󠄁 匽󠄂
匾	匾 匾󠄁 匾󠄂 匾󠄃
匿	匿 匿󠄂 匿󠄃
區	區 區󠄂 區󠄃
卄	卄 卄󠄀 卄󠄁
卅	卅 卅󠄁 卅󠄂
半	半 半󠄂 半󠄃
卑	卑 卑󠄂 卑󠄃
卒	卒 卒󠄁 卒󠄂
博	博 博󠄂 博󠄃 博󠄄 博󠄅 博󠄆 博󠄊 博󠄋
卞	卞 卞󠄁 卞󠄂
卯	卯 卯󠄁 卯󠄂
危	危 危󠄂 危󠄃 危󠄄
即	即 即󠄁 即󠄂
卷	卷 卷󠄁 卷󠄂 卷󠄃 卷󠄄 卷󠄆
卸	卸 卸󠄂 卸󠄃
卻	卻 卻󠄁 卻󠄂
